app_name,rating,rank,bigram,count
Microsoft%20Word,,9,else due,100
Microsoft%20Word,,10,suggest exactly,100
Microsoft%20Word,1.0,1,worst ever,1300
Microsoft%20Word,1.0,2,fetching files,1000
Microsoft%20Word,1.0,3,doesn work,900
Microsoft%20Word,1.0,4,bad experience,800
Microsoft%20Word,1.0,5,doesn let,700
Microsoft%20Word,1.0,6,won let,700
Microsoft%20Word,1.0,7,worst experience,600
Microsoft%20Word,1.0,8,copy paste,600
Microsoft%20Word,1.0,9,access files,500
Microsoft%20Word,1.0,10,m disappointed,500
Microsoft%20Word,2.0,1,read aloud,300
Microsoft%20Word,2.0,2,create new,300
Microsoft%20Word,2.0,3,find documents,200
Microsoft%20Word,2.0,4,lost entire,200
Microsoft%20Word,2.0,5,recent documents,200
Microsoft%20Word,2.0,6,copy paste,200
Microsoft%20Word,2.0,7,give star,200
Microsoft%20Word,2.0,8,read onedrive,200
Microsoft%20Word,2.0,9,always go,200
Microsoft%20Word,2.0,10,okay good,200
Microsoft%20Word,3.0,1,edit documents,700
Microsoft%20Word,3.0,2,convert pdf,400
Microsoft%20Word,3.0,3,good experience,300
Microsoft%20Word,3.0,4,doesn work,300
Microsoft%20Word,3.0,5,new icon,200
Microsoft%20Word,3.0,6,good better,200
Microsoft%20Word,3.0,7,left right,200
Microsoft%20Word,3.0,8,background color,200
Microsoft%20Word,3.0,9,save pdf,200
Microsoft%20Word,3.0,10,seems like,200
Microsoft%20Word,4.0,1,good work,600
Microsoft%20Word,4.0,2,makes work,500
Microsoft%20Word,4.0,3,nice easy,500
Microsoft%20Word,4.0,4,good experience,500
Microsoft%20Word,4.0,5,work easy,400
Microsoft%20Word,4.0,6,far good,400
Microsoft%20Word,4.0,7,like pc,400
Microsoft%20Word,4.0,8,star rating,400
Microsoft%20Word,4.0,9,good useful,400
Microsoft%20Word,4.0,10,job done,400
Microsoft%20Word,5.0,1,best ever,3800
Microsoft%20Word,5.0,2,good easy,2100
Microsoft%20Word,5.0,3,easy access,1500
Microsoft%20Word,5.0,4,easy work,1400
